0074T,Online physician e/m,
0075T,Perq stent/chest vert art,
0076T,S&i stent/chest vert art,
0077T,Cereb therm perfusion probe,
0078T,Endovasc aort repr w/device,
0079T,Endovasc visc extnsn repr,
0080T,Endovasc aort repr rad s&i,
0081T,Endovasc visc extnsn s&i,
0082T,Stereotactic rad delivery,
0083T,Stereotactic rad tx mngmt,
0084T,Temp prostate urethral stent,
0085T,Breath test heart reject,
0086T,L ventricle fill pressure,
0087T,Sperm eval hyaluronan,
0088T,Rf tongue base vol reduxn,
0500F,Initial prenatal care visit,
0501F,Prenatal flow sheet,
0502F,Subsequent prenatal care,
0503F,Postpartum care visit,
1000F,"Tobacco use, smoking, assess",
1001F,"Tobacco use, non-smoking",
10021,Fna w/o image,
10022,Fna w/image,
1002F,Assess anginal symptom/level,
10040,Acne surgery,
10060,Drainage of skin abscess,
10061,Drainage of skin abscess,
10080,Drainage of pilonidal cyst,
10081,Drainage of pilonidal cyst,
10120,Remove foreign body,
10121,Remove foreign body,
10140,Drainage of hematoma/fluid,
10160,Puncture drainage of lesion,
10180,"Complex drainage, wound",
11000,Debride infected skin,
11001,Debride infected skin add-on,
11004,Debride genitalia & perineum,
11005,Debride abdom wall,
11006,Debride genit/per/abdom wall,
11008,Remove mesh from abd wall,
11010,"Debride skin, fx",
11011,"Debride skin/muscle, fx",
11012,"Debride skin/muscle/bone, fx",
11040,"Debride skin, partial",
11041,"Debride skin, full",
11042,Debride skin/tissue,
11043,Debride tissue/muscle,
11044,Debride tissue/muscle/bone,
11055,Trim skin lesion,
11056,"Trim skin lesions, 2 to 4",
11057,"Trim skin lesions, over 4",
11100,"Biopsy, skin lesion",
11101,"Biopsy, skin add-on",
11200,Removal of skin tags,
11201,Remove skin tags add-on,
11300,Shave skin lesion,
11301,Shave skin lesion,
11302,Shave skin lesion,
11303,Shave skin lesion,
11305,Shave skin lesion,
11306,Shave skin lesion,
11307,Shave skin lesion,
11308,Shave skin lesion,
11310,Shave skin lesion,
11311,Shave skin lesion,
11312,Shave skin lesion,
11313,Shave skin lesion,
11400,Exc tr-ext b9+marg 0.5 < cm,
11401,Exc tr-ext b9+marg 0.6-1 cm,
11402,Exc tr-ext b9+marg 1.1-2 cm,
11403,Exc tr-ext b9+marg 2.1-3 cm,
11404,Exc tr-ext b9+marg 3.1-4 cm,
11406,Exc tr-ext b9+marg > 4.0 cm,
11420,Exc h-f-nk-sp b9+marg 0.5 <,
11421,Exc h-f-nk-sp b9+marg 0.6-1,
11422,Exc h-f-nk-sp b9+marg 1.1-2,
11423,Exc h-f-nk-sp b9+marg 2.1-3,
11424,Exc h-f-nk-sp b9+marg 3.1-4,
11426,Exc h-f-nk-sp b9+marg > 4 cm,
11440,Exc face-mm b9+marg 0.5 < cm,
11441,Exc face-mm b9+marg 0.6-1 cm,
11442,Exc face-mm b9+marg 1.1-2 cm,
11443,Exc face-mm b9+marg 2.1-3 cm,
11444,Exc face-mm b9+marg 3.1-4 cm,
11446,Exc face-mm b9+marg > 4 cm,
11450,"Removal, sweat gland lesion",
11451,"Removal, sweat gland lesion",
11462,"Removal, sweat gland lesion",
11463,"Removal, sweat gland lesion",
11470,"Removal, sweat gland lesion",
11471,"Removal, sweat gland lesion",
11600,Exc tr-ext mlg+marg 0.5 < cm,
11601,Exc tr-ext mlg+marg 0.6-1 cm,
11602,Exc tr-ext mlg+marg 1.1-2 cm,
11603,Exc tr-ext mlg+marg 2.1-3 cm,
11604,Exc tr-ext mlg+marg 3.1-4 cm,
11606,Exc tr-ext mlg+marg > 4 cm,
11620,Exc h-f-nk-sp mlg+marg 0.5 <,
11621,Exc h-f-nk-sp mlg+marg 0.6-1,
11622,Exc h-f-nk-sp mlg+marg 1.1-2,
11623,Exc h-f-nk-sp mlg+marg 2.1-3,
11624,Exc h-f-nk-sp mlg+marg 3.1-4,
11626,Exc h-f-nk-sp mlg+mar > 4 cm,
11640,Exc face-mm malig+marg 0.5 <,
11641,Exc face-mm malig+marg 0.6-1,
11642,Exc face-mm malig+marg 1.1-2,
11643,Exc face-mm malig+marg 2.1-3,
11644,Exc face-mm malig+marg 3.1-4,
11646,Exc face-mm mlg+marg > 4 cm,
11719,Trim nail(s),
11720,"Debride nail, 1-5",
11721,"Debride nail, 6 or more",
11730,Removal of nail plate,
11732,"Remove nail plate, add-on",
11740,Drain blood from under nail,
11750,Removal of nail bed,
11752,Remove nail bed/finger tip,
11755,"Biopsy, nail unit",
11760,Repair of nail bed,
11762,Reconstruction of nail bed,
11765,"Excision of nail fold, toe",
11770,Removal of pilonidal lesion,
11771,Removal of pilonidal lesion,
11772,Removal of pilonidal lesion,
11900,Injection into skin lesions,
11901,Added skin lesions injection,
11920,Correct skin color defects,
11921,Correct skin color defects,
11922,Correct skin color defects,
11950,Therapy for contour defects,
11951,Therapy for contour defects,
11952,Therapy for contour defects,
11954,Therapy for contour defects,
11960,Insert tissue expander(s),
11970,Replace tissue expander,
11971,Remove tissue expander(s),
11975,Insert contraceptive cap,
11976,Removal of contraceptive cap,
11977,Removal/reinsert contra cap,
11980,Implant hormone pellet(s),
11981,Insert drug implant device,
11982,Remove drug implant device,
11983,Remove/insert drug implant,
12001,Repair superficial wound(s),
12002,Repair superficial wound(s),
12004,Repair superficial wound(s),
12005,Repair superficial wound(s),
12006,Repair superficial wound(s),
12007,Repair superficial wound(s),
12011,Repair superficial wound(s),
12013,Repair superficial wound(s),
12014,Repair superficial wound(s),
12015,Repair superficial wound(s),
12016,Repair superficial wound(s),
12017,Repair superficial wound(s),
12018,Repair superficial wound(s),
12020,Closure of split wound,
12021,Closure of split wound,
12031,Layer closure of wound(s),
12032,Layer closure of wound(s),
12034,Layer closure of wound(s),
12035,Layer closure of wound(s),
12036,Layer closure of wound(s),
12037,Layer closure of wound(s),
12041,Layer closure of wound(s),
12042,Layer closure of wound(s),
12044,Layer closure of wound(s),
12045,Layer closure of wound(s),
12046,Layer closure of wound(s),
12047,Layer closure of wound(s),
12051,Layer closure of wound(s),
12052,Layer closure of wound(s),
12053,Layer closure of wound(s),
12054,Layer closure of wound(s),
12055,Layer closure of wound(s),
12056,Layer closure of wound(s),
12057,Layer closure of wound(s),
13100,Repair of wound or lesion,
13101,Repair of wound or lesion,
13102,Repair wound/lesion add-on,
13120,Repair of wound or lesion,
13121,Repair of wound or lesion,
13122,Repair wound/lesion add-on,
13131,Repair of wound or lesion,
13132,Repair of wound or lesion,
13133,Repair wound/lesion add-on,
13150,Repair of wound or lesion,
13151,Repair of wound or lesion,
13152,Repair of wound or lesion,
13153,Repair wound/lesion add-on,
13160,Late closure of wound,
14000,Skin tissue rearrangement,
14001,Skin tissue rearrangement,
14020,Skin tissue rearrangement,
14021,Skin tissue rearrangement,
14040,Skin tissue rearrangement,
14041,Skin tissue rearrangement,
14060,Skin tissue rearrangement,
14061,Skin tissue rearrangement,
14300,Skin tissue rearrangement,
14350,Skin tissue rearrangement,
15000,Skin graft,
15001,Skin graft add-on,
15050,Skin pinch graft,
15100,Skin split graft,
15101,Skin split graft add-on,
15120,Skin split graft,
15121,Skin split graft add-on,
15200,Skin full graft,
15201,Skin full graft add-on,
15220,Skin full graft,
15221,Skin full graft add-on,
15240,Skin full graft,
15241,Skin full graft add-on,
15260,Skin full graft,
15261,Skin full graft add-on,
15342,"Cultured skin graft, 25 cm",
15343,Culture skn graft addl 25 cm,
15350,Skin homograft,
15351,Skin homograft add-on,
15400,Skin heterograft,
15401,Skin heterograft add-on,
15570,Form skin pedicle flap,
15572,Form skin pedicle flap,
15574,Form skin pedicle flap,
15576,Form skin pedicle flap,
15600,Skin graft,
15610,Skin graft,
15620,Skin graft,
15630,Skin graft,
15650,Transfer skin pedicle flap,
15732,"Muscle-skin graft, head/neck",
15734,"Muscle-skin graft, trunk",
15736,"Muscle-skin graft, arm",
15738,"Muscle-skin graft, leg",
15740,Island pedicle flap graft,
15750,Neurovascular pedicle graft,
15756,Free myo/skin flap microvasc,
15757,"Free skin flap, microvasc",
15758,"Free fascial flap, microvasc",
15760,Composite skin graft,
15770,Derma-fat-fascia graft,
15775,Hair transplant punch grafts,
15776,Hair transplant punch grafts,
15780,Abrasion treatment of skin,
15781,Abrasion treatment of skin,
15782,Abrasion treatment of skin,
15783,Abrasion treatment of skin,
15786,"Abrasion, lesion, single",
15787,"Abrasion, lesions, add-on",
15788,"Chemical peel, face, epiderm",
15789,"Chemical peel, face, dermal",
15792,"Chemical peel, nonfacial",
15793,"Chemical peel, nonfacial",
15810,Salabrasion,
15811,Salabrasion,
15819,"Plastic surgery, neck",
15820,Revision of lower eyelid,
15821,Revision of lower eyelid,
15822,Revision of upper eyelid,
15823,Revision of upper eyelid,
15824,Removal of forehead wrinkles,
15825,Removal of neck wrinkles,
15826,Removal of brow wrinkles,
15828,Removal of face wrinkles,
15829,Removal of skin wrinkles,
15831,Excise excessive skin tissue,
15832,Excise excessive skin tissue,
15833,Excise excessive skin tissue,
15834,Excise excessive skin tissue,
15835,Excise excessive skin tissue,
15836,Excise excessive skin tissue,
15837,Excise excessive skin tissue,
15838,Excise excessive skin tissue,
15839,Excise excessive skin tissue,
15840,Graft for face nerve palsy,
15841,Graft for face nerve palsy,
15842,Flap for face nerve palsy,
15845,"Skin and muscle repair, face",
15850,Removal of sutures,
15851,Removal of sutures,
15852,Dressing change not for burn,
15860,Test for blood flow in graft,
15876,Suction assisted lipectomy,
15877,Suction assisted lipectomy,
15878,Suction assisted lipectomy,
15879,Suction assisted lipectomy,
15920,Removal of tail bone ulcer,
15922,Removal of tail bone ulcer,
15931,Remove sacrum pressure sore,
15933,Remove sacrum pressure sore,
15934,Remove sacrum pressure sore,
15935,Remove sacrum pressure sore,
15936,Remove sacrum pressure sore,
15937,Remove sacrum pressure sore,
15940,Remove hip pressure sore,
15941,Remove hip pressure sore,
15944,Remove hip pressure sore,
15945,Remove hip pressure sore,
15946,Remove hip pressure sore,
15950,Remove thigh pressure sore,
15951,Remove thigh pressure sore,
15952,Remove thigh pressure sore,
15953,Remove thigh pressure sore,
15956,Remove thigh pressure sore,
15958,Remove thigh pressure sore,
15999,Removal of pressure sore,
16000,Initial treatment of burn(s),
16010,Treatment of burn(s),
16015,Treatment of burn(s),
16020,Treatment of burn(s),
16025,Treatment of burn(s),
16030,Treatment of burn(s),
16035,"Incision of burn scab, initi",
16036,Escharotomy, add?l incision
17000,Destroy benign/premlg lesion,
17003,"Destroy lesions, 2-14",
17004,"Destroy lesions, 15 or more",
17106,Destruction of skin lesions,
17107,Destruction of skin lesions,
17108,Destruction of skin lesions,
17110,"Destruct lesion, 1-14",
17111,"Destruct lesion, 15 or more",
17250,"Chemical cautery, tissue",
17260,Destruction of skin lesions,
17261,Destruction of skin lesions,
17262,Destruction of skin lesions,
17263,Destruction of skin lesions,
17264,Destruction of skin lesions,
17266,Destruction of skin lesions,
17270,Destruction of skin lesions,
17271,Destruction of skin lesions,
17272,Destruction of skin lesions,
17273,Destruction of skin lesions,
17274,Destruction of skin lesions,
17276,Destruction of skin lesions,
17280,Destruction of skin lesions,
17281,Destruction of skin lesions,
17282,Destruction of skin lesions,
17283,Destruction of skin lesions,
17284,Destruction of skin lesions,
17286,Destruction of skin lesions,
17304,"1 stage mohs, up to 5 spec",
17305,"2 stage mohs, up to 5 spec",
17306,"3 stage mohs, up to 5 spec",
17307,Mohs addl stage up to 5 spec,
17310,Mohs any stage > 5 spec each,
17340,Cryotherapy of skin,
17360,Skin peel therapy,
17380,Hair removal by electrolysis,
17999,Skin tissue procedure,
19000,Drainage of breast lesion,
19001,Drain breast lesion add-on,
19020,Incision of breast lesion,
19030,Injection for breast x-ray,
19100,Bx breast percut w/o image,
19101,"Biopsy of breast, open",
19102,Bx breast percut w/image,
19103,Bx breast percut w/device,
19110,Nipple exploration,
19112,Excise breast duct fistula,
19120,Removal of breast lesion,
19125,"Excision, breast lesion",
19126,"Excision, addl breast lesion",
19140,Removal of breast tissue,
19160,Partial mastectomy,
19162,P-mastectomy w/ln removal,
19180,Removal of breast,
19182,Removal of breast,
19200,Removal of breast,
19220,Removal of breast,
19240,Removal of breast,
19260,Removal of chest wall lesion,
19271,Revision of chest wall,
19272,Extensive chest wall surgery,
19290,"Place needle wire, breast",
19291,"Place needle wire, breast",
19295,"Place breast clip, percut",
19296,Place po breast cath for rad,
19297,Place breast cath for rad,
19298,Place breast rad tube/caths,
19316,Suspension of breast,
19318,Reduction of large breast,
19324,Enlarge breast,
19325,Enlarge breast with implant,
19328,Removal of breast implant,
19330,Removal of implant material,
19340,Immediate breast prosthesis,
19342,Delayed breast prosthesis,
19350,Breast reconstruction,
19355,Correct inverted nipple(s),
19357,Breast reconstruction,
19361,Breast reconstruction,
19364,Breast reconstruction,
19366,Breast reconstruction,
19367,Breast reconstruction,
19368,Breast reconstruction,
19369,Breast reconstruction,
19370,Surgery of breast capsule,
19371,Removal of breast capsule,
19380,Revise breast reconstruction,
19396,Design custom breast implant,
19499,Breast surgery procedure,
20000,Incision of abscess,
20005,Incision of deep abscess,
2000F,"Blood pressure, measured",
20100,"Explore wound, neck",
20101,"Explore wound, chest",
20102,"Explore wound, abdomen",
20103,"Explore wound, extremity",
20150,Excise epiphyseal bar,
20200,Muscle biopsy,
20205,Deep muscle biopsy,
20206,"Needle biopsy, muscle",
20220,"Bone biopsy, trocar/needle",
20225,"Bone biopsy, trocar/needle",
20240,"Bone biopsy, excisional",
20245,"Bone biopsy, excisional",
20250,Open bone biopsy,
20251,Open bone biopsy,
20500,Injection of sinus tract,
20501,Inject sinus tract for x-ray,
20520,Removal of foreign body,
20525,Removal of foreign body,
20526,"Ther injection, carp tunnel",
20550,Inj tendon sheath/ligament,
20551,Inj tendon origin/insertion,
20552,"Inj trigger point, 1/2 muscl",
20553,"Inject trigger points, =/> 3",
20600,"Drain/inject, joint/bursa",
20605,"Drain/inject, joint/bursa",
20610,"Drain/inject, joint/bursa",
20612,Aspirate/inj ganglion cyst,
20615,Treatment of bone cyst,
20650,Insert and remove bone pin,
20660,"Apply, rem fixation device",
20661,Application of head brace,
20662,Application of pelvis brace,
20663,Application of thigh brace,
20664,Halo brace application,
20665,Removal of fixation device,
20670,Removal of support implant,
20680,Removal of support implant,
20690,Apply bone fixation device,
20692,Apply bone fixation device,
20693,Adjust bone fixation device,
20694,Remove bone fixation device,
20802,"Replantation, arm, complete",
20805,"Replant forearm, complete",
20808,"Replantation hand, complete",
20816,"Replantation digit, complete",
20822,"Replantation digit, complete",
20824,"Replantation thumb, complete",
20827,"Replantation thumb, complete",
20838,"Replantation foot, complete",
20900,Removal of bone for graft,
20902,Removal of bone for graft,
20910,Remove cartilage for graft,
20912,Remove cartilage for graft,
20920,Removal of fascia for graft,
20922,Removal of fascia for graft,
20924,Removal of tendon for graft,
20926,Removal of tissue for graft,
20930,Spinal bone allograft,
20931,Spinal bone allograft,
20936,Spinal bone autograft,
20937,Spinal bone autograft,
20938,Spinal bone autograft,
20950,"Fluid pressure, muscle",
20955,"Fibula bone graft, microvasc",
20956,"Iliac bone graft, microvasc",
20957,"Mt bone graft, microvasc",
20962,"Other bone graft, microvasc",
20969,"Bone/skin graft, microvasc",
20970,"Bone/skin graft, iliac crest",
20972,"Bone/skin graft, metatarsal",
20973,"Bone/skin graft, great toe",
20974,Electrical bone stimulation,
20975,Electrical bone stimulation,
20979,Us bone stimulation,
20982,"Ablate, bone tumor(s) perq",
20999,Musculoskeletal surgery,
21010,Incision of jaw joint,
21015,Resection of facial tumor,
21025,"Excision of bone, lower jaw",
21026,Excision of facial bone(s),
21029,Contour of face bone lesion,
21030,Excise max/zygoma b9 tumor,
21031,"Remove exostosis, mandible",
21032,"Remove exostosis, maxilla",
21034,Excise max/zygoma mlg tumor,
21040,Excise mandible lesion,
21044,Removal of jaw bone lesion,
21045,Extensive jaw surgery,
21046,Remove mandible cyst complex,
21047,Excise lwr jaw cyst w/repair,
21048,Remove maxilla cyst complex,
21049,Excis uppr jaw cyst w/repair,
21050,Removal of jaw joint,
21060,Remove jaw joint cartilage,
21070,Remove coronoid process,
21076,Prepare face/oral prosthesis,
21077,Prepare face/oral prosthesis,
21079,Prepare face/oral prosthesis,
21080,Prepare face/oral prosthesis,
21081,Prepare face/oral prosthesis,
21082,Prepare face/oral prosthesis,
21083,Prepare face/oral prosthesis,
21084,Prepare face/oral prosthesis,
21085,Prepare face/oral prosthesis,
21086,Prepare face/oral prosthesis,
21087,Prepare face/oral prosthesis,
21088,Prepare face/oral prosthesis,
21089,Prepare face/oral prosthesis,
21100,Maxillofacial fixation,
21110,Interdental fixation,
21116,"Injection, jaw joint x-ray",
21120,Reconstruction of chin,
21121,Reconstruction of chin,
21122,Reconstruction of chin,
21123,Reconstruction of chin,
21125,"Augmentation, lower jaw bone",
21127,"Augmentation, lower jaw bone",
21137,Reduction of forehead,
21138,Reduction of forehead,
21139,Reduction of forehead,
21141,"Reconstruct midface, lefort",
21142,"Reconstruct midface, lefort",
21143,"Reconstruct midface, lefort",
21145,"Reconstruct midface, lefort",
21146,"Reconstruct midface, lefort",
21147,"Reconstruct midface, lefort",
21150,"Reconstruct midface, lefort",
21151,"Reconstruct midface, lefort",
21154,"Reconstruct midface, lefort",
21155,"Reconstruct midface, lefort",
21159,"Reconstruct midface, lefort",
21160,"Reconstruct midface, lefort",
21172,Reconstruct orbit/forehead,
21175,Reconstruct orbit/forehead,
21179,Reconstruct entire forehead,
21180,Reconstruct entire forehead,
21181,Contour cranial bone lesion,
21182,Reconstruct cranial bone,
21183,Reconstruct cranial bone,
21184,Reconstruct cranial bone,
21188,Reconstruction of midface,
21193,Reconst lwr jaw w/o graft,
21194,Reconst lwr jaw w/graft,
21195,Reconst lwr jaw w/o fixation,
21196,Reconst lwr jaw w/fixation,
21198,Reconstr lwr jaw segment,
21199,Reconstr lwr jaw w/advance,
21206,Reconstruct upper jaw bone,
21208,Augmentation of facial bones,
21209,Reduction of facial bones,
21210,Face bone graft,
21215,Lower jaw bone graft,
21230,Rib cartilage graft,
21235,Ear cartilage graft,
21240,Reconstruction of jaw joint,
21242,Reconstruction of jaw joint,
21243,Reconstruction of jaw joint,
21244,Reconstruction of lower jaw,
21245,Reconstruction of jaw,
21246,Reconstruction of jaw,
21247,Reconstruct lower jaw bone,
21248,Reconstruction of jaw,
21249,Reconstruction of jaw,
21255,Reconstruct lower jaw bone,
21256,Reconstruction of orbit,
21260,Revise eye sockets,
21261,Revise eye sockets,
21263,Revise eye sockets,
21267,Revise eye sockets,
21268,Revise eye sockets,
21270,"Augmentation, cheek bone",
21275,"Revision, orbitofacial bones",
21280,Revision of eyelid,
21282,Revision of eyelid,
21295,Revision of jaw muscle/bone,
21296,Revision of jaw muscle/bone,
21299,Cranio/maxillofacial surgery,
21300,Treatment of skull fracture,
21310,Treatment of nose fracture,
21315,Treatment of nose fracture,
21320,Treatment of nose fracture,
21325,Treatment of nose fracture,
21330,Treatment of nose fracture,
21335,Treatment of nose fracture,
21336,Treat nasal septal fracture,
21337,Treat nasal septal fracture,
21338,Treat nasoethmoid fracture,
21339,Treat nasoethmoid fracture,
21340,Treatment of nose fracture,
21343,Treatment of sinus fracture,
21344,Treatment of sinus fracture,
21345,Treat nose/jaw fracture,
21346,Treat nose/jaw fracture,
21347,Treat nose/jaw fracture,
21348,Treat nose/jaw fracture,
21355,Treat cheek bone fracture,
21356,Treat cheek bone fracture,
21360,Treat cheek bone fracture,
21365,Treat cheek bone fracture,
21366,Treat cheek bone fracture,
21385,Treat eye socket fracture,
21386,Treat eye socket fracture,
21387,Treat eye socket fracture,
21390,Treat eye socket fracture,
21395,Treat eye socket fracture,
21400,Treat eye socket fracture,
21401,Treat eye socket fracture,
21406,Treat eye socket fracture,
21407,Treat eye socket fracture,
21408,Treat eye socket fracture,
21421,Treat mouth roof fracture,
21422,Treat mouth roof fracture,
21423,Treat mouth roof fracture,
21431,Treat craniofacial fracture,
21432,Treat craniofacial fracture,
21433,Treat craniofacial fracture,
21435,Treat craniofacial fracture,
21436,Treat craniofacial fracture,
21440,Treat dental ridge fracture,
21445,Treat dental ridge fracture,
21450,Treat lower jaw fracture,
21451,Treat lower jaw fracture,
21452,Treat lower jaw fracture,
21453,Treat lower jaw fracture,
21454,Treat lower jaw fracture,
21461,Treat lower jaw fracture,
21462,Treat lower jaw fracture,
21465,Treat lower jaw fracture,
21470,Treat lower jaw fracture,
21480,Reset dislocated jaw,
21485,Reset dislocated jaw,
21490,Repair dislocated jaw,
21493,Treat hyoid bone fracture,
21494,Treat hyoid bone fracture,
21495,Treat hyoid bone fracture,
21497,Interdental wiring,
21499,Head surgery procedure,
21501,Drain neck/chest lesion,
21502,Drain chest lesion,
21510,Drainage of bone lesion,
21550,Biopsy of neck/chest,
21555,"Remove lesion, neck/chest",
21556,"Remove lesion, neck/chest",
21557,"Remove tumor, neck/chest",
21600,Partial removal of rib,
21610,Partial removal of rib,
21615,Removal of rib,
21616,Removal of rib and nerves,
21620,Partial removal of sternum,
21627,Sternal debridement,
21630,Extensive sternum surgery,
21632,Extensive sternum surgery,
21685,Hyoid myotomy & suspension,
21700,Revision of neck muscle,
21705,Revision of neck muscle/rib,
21720,Revision of neck muscle,
21725,Revision of neck muscle,
21740,Reconstruction of sternum,
21742,Repair stern/nuss w/o scope,
21743,Repair sternum/nuss w/scope,
21750,Repair of sternum separation,
21800,Treatment of rib fracture,
21805,Treatment of rib fracture,
21810,Treatment of rib fracture(s),
21820,Treat sternum fracture,
21825,Treat sternum fracture,
21899,Neck/chest surgery procedure,
21920,Biopsy soft tissue of back,
21925,Biopsy soft tissue of back,
21930,"Remove lesion, back or flank",
21935,"Remove tumor, back",
22100,Remove part of neck vertebra,
22101,"Remove part, thorax vertebra",
22102,"Remove part, lumbar vertebra",
22103,Remove extra spine segment,
22110,Remove part of neck vertebra,
22112,"Remove part, thorax vertebra",
22114,"Remove part, lumbar vertebra",
22116,Remove extra spine segment,
22210,Revision of neck spine,
22212,Revision of thorax spine,
22214,Revision of lumbar spine,
22216,"Revise, extra spine segment",
22220,Revision of neck spine,
22222,Revision of thorax spine,
22224,Revision of lumbar spine,
22226,"Revise, extra spine segment",
22305,Treat spine process fracture,
22310,Treat spine fracture,
22315,Treat spine fracture,
22318,Treat odontoid fx w/o graft,
22319,Treat odontoid fx w/graft,
22325,Treat spine fracture,
22326,Treat neck spine fracture,
22327,Treat thorax spine fracture,
22328,Treat each add spine fx,
22505,Manipulation of spine,
22520,Percut vertebroplasty thor,
22521,Percut vertebroplasty lumb,
22522,Percut vertebroplasty add?l,
22532,Lat thorax spine fusion,
22533,Lat lumbar spine fusion,
22534,"Lat thor/lumb, add?l seg",
22548,Neck spine fusion,
22554,Neck spine fusion,
22556,Thorax spine fusion,
22558,Lumbar spine fusion,
22585,Additional spinal fusion,
22590,Spine & skull spinal fusion,
22595,Neck spinal fusion,
22600,Neck spine fusion,
22610,Thorax spine fusion,
22612,Lumbar spine fusion,
22614,"Spine fusion, extra segment",
22630,Lumbar spine fusion,
22632,"Spine fusion, extra segment",
22800,Fusion of spine,
22802,Fusion of spine,
22804,Fusion of spine,
22808,Fusion of spine,
22810,Fusion of spine,
22812,Fusion of spine,
22818,"Kyphectomy, 1-2 segments",
22819,"Kyphectomy, 3 or more",
22830,Exploration of spinal fusion,
22840,Insert spine fixation device,
22841,Insert spine fixation device,
22842,Insert spine fixation device,
22843,Insert spine fixation device,
22844,Insert spine fixation device,
22845,Insert spine fixation device,
22846,Insert spine fixation device,
22847,Insert spine fixation device,
22848,Insert pelv fixation device,
22849,Reinsert spinal fixation,
22850,Remove spine fixation device,
22851,Apply spine prosth device,
22852,Remove spine fixation device,
22855,Remove spine fixation device,
22899,Spine surgery procedure,
22900,Remove abdominal wall lesion,
22999,Abdomen surgery procedure,
23000,Removal of calcium deposits,
23020,Release shoulder joint,
23030,Drain shoulder lesion,
23031,Drain shoulder bursa,
23035,Drain shoulder bone lesion,
23040,Exploratory shoulder surgery,
23044,Exploratory shoulder surgery,
23065,Biopsy shoulder tissues,
23066,Biopsy shoulder tissues,
23075,Removal of shoulder lesion,
23076,Removal of shoulder lesion,
23077,Remove tumor of shoulder,
23100,Biopsy of shoulder joint,
23101,Shoulder joint surgery,
23105,Remove shoulder joint lining,
23106,Incision of collarbone joint,
23107,Explore treat shoulder joint,
23120,"Partial removal, collar bone",
23125,Removal of collar bone,
23130,"Remove shoulder bone, part",
23140,Removal of bone lesion,
23145,Removal of bone lesion,
23146,Removal of bone lesion,
23150,Removal of humerus lesion,
23155,Removal of humerus lesion,
23156,Removal of humerus lesion,
23170,Remove collar bone lesion,
23172,Remove shoulder blade lesion,
23174,Remove humerus lesion,
23180,Remove collar bone lesion,
23182,Remove shoulder blade lesion,
23184,Remove humerus lesion,
23190,Partial removal of scapula,
23195,Removal of head of humerus,
23200,Removal of collar bone,
23210,Removal of shoulder blade,
23220,Partial removal of humerus,
23221,Partial removal of humerus,
23222,Partial removal of humerus,
23330,Remove shoulder foreign body,
23331,Remove shoulder foreign body,
23332,Remove shoulder foreign body,
23350,Injection for shoulder x-ray,
23395,"Muscle transfer,shoulder/arm",
23397,Muscle transfers,
23400,Fixation of shoulder blade,
23405,Incision of tendon & muscle,
23406,Incise tendon(s) & muscle(s),
23410,"Repair rotator cuff, acute",
23412,"Repair rotator cuff, chronic",
23415,Release of shoulder ligament,
23420,Repair of shoulder,
23430,Repair biceps tendon,
23440,Remove/transplant tendon,
23450,Repair shoulder capsule,
23455,Repair shoulder capsule,
23460,Repair shoulder capsule,
23462,Repair shoulder capsule,
23465,Repair shoulder capsule,
23466,Repair shoulder capsule,
23470,Reconstruct shoulder joint,
23472,Reconstruct shoulder joint,
23480,Revision of collar bone,
